id_devis,type_client,type_prestation,montant_eur,delai_reponse_jours,saison,client_recurrent,statut
DEV-20250001,Grande entreprise,Grosse installation neuve,48082.87,13,Automne,0,Refuse
DEV-20250002,Cabinet architecte,Installation chauffage,6559.45,13,Hiver,0,Accepte
DEV-20250003,Grande entreprise,Maintenance contrat,2003.39,26,Hiver,1,Refuse
DEV-20250004,Grande entreprise,Maintenance contrat,1707.53,6,Hiver,1,Accepte
DEV-20250005,Particulier,Installation climatisation,6834.45,5,Ete,0,Refuse
DEV-20250006,Grande entreprise,Maintenance contrat,1806.85,17,Automne,0,Refuse
DEV-20250007,Grande entreprise,Installation climatisation,11521.09,21,Automne,1,Accepte
DEV-20250008,Grande entreprise,Maintenance contrat,724.85,10,Automne,1,Accepte
DEV-20250009,Particulier,Depannage,479.59,2,Hiver,0,Refuse
DEV-20250010,Cabinet architecte,Installation chauffage,4888.46,21,Printemps,0,Refuse
DEV-20250011,Cabinet architecte,Installation climatisation,6485.66,6,Printemps,0,Refuse
DEV-20250012,Grande entreprise,Installation climatisation,9798.23,15,Hiver,1,Accepte
DEV-20250013,Grande entreprise,Renovation plomberie,8809.84,16,Hiver,0,Refuse
DEV-20250014,Grande entreprise,Installation climatisation,12475.08,13,Hiver,0,Accepte
DEV-20250015,Cabinet architecte,Renovation plomberie,3261.44,14,Hiver,1,Accepte
DEV-20250016,Particulier,Depannage,480.19,7,Ete,0,Refuse
DEV-20250017,Cabinet architecte,Renovation plomberie,5362.43,10,Automne,0,Accepte
DEV-20250018,Particulier,Renovation plomberie,2712.73,3,Hiver,0,Accepte
DEV-20250019,Grande entreprise,Renovation plomberie,3480.38,16,Printemps,0,Accepte
DEV-20250020,Grande entreprise,Grosse installation neuve,20579.66,19,Automne,0,Accepte
DEV-20250021,Grande entreprise,Grosse installation neuve,66972.62,12,Automne,0,Accepte
DEV-20250022,Cabinet architecte,Installation climatisation,6114.74,15,Automne,1,Accepte
DEV-20250023,Grande entreprise,Installation climatisation,12482.88,30,Printemps,1,Accepte
DEV-20250024,Grande entreprise,Maintenance contrat,1293.26,36,Automne,0,Accepte
DEV-20250025,Grande entreprise,Grosse installation neuve,79608.77,35,Hiver,1,Refuse
DEV-20250026,Particulier,Renovation plomberie,2940.52,4,Printemps,0,Accepte
DEV-20250027,Cabinet architecte,Grosse installation neuve,49112.54,11,Hiver,1,Accepte
DEV-20250028,Particulier,Installation chauffage,2339.28,4,Printemps,0,Accepte
DEV-20250029,Particulier,Renovation plomberie,3444.12,4,Printemps,1,Accepte
DEV-20250030,Grande entreprise,Renovation plomberie,7752.98,16,Hiver,0,Accepte
DEV-20250031,Grande entreprise,Grosse installation neuve,76256.21,18,Automne,1,Refuse
DEV-20250032,Grande entreprise,Renovation plomberie,7882.27,32,Hiver,0,Accepte
DEV-20250033,Cabinet architecte,Maintenance contrat,433.26,13,Hiver,1,Accepte
DEV-20250034,Cabinet architecte,Grosse installation neuve,29957.96,5,Hiver,0,Refuse
DEV-20250035,Cabinet architecte,Installation chauffage,2853.23,18,Printemps,1,Accepte
DEV-20250036,Particulier,Renovation plomberie,1882.49,6,Hiver,0,Accepte
DEV-20250037,Particulier,Depannage,453.89,7,Printemps,1,Accepte
DEV-20250038,Cabinet architecte,Grosse installation neuve,45453.25,13,Hiver,1,Accepte
DEV-20250039,Particulier,Depannage,498.17,6,Automne,1,Accepte
DEV-20250040,Grande entreprise,Grosse installation neuve,72523.76,22,Automne,0,Refuse
DEV-20250041,Cabinet architecte,Installation chauffage,6445.04,3,Printemps,0,Refuse
DEV-20250042,Grande entreprise,Grosse installation neuve,68454.91,23,Ete,0,Accepte
DEV-20250043,Grande entreprise,Grosse installation neuve,21084.71,12,Automne,0,Accepte
DEV-20250044,Cabinet architecte,Installation climatisation,4622.03,8,Automne,1,Accepte
DEV-20250045,Grande entreprise,Grosse installation neuve,57179.56,18,Ete,1,Accepte
DEV-20250046,Grande entreprise,Grosse installation neuve,72061.89,39,Automne,1,Accepte
DEV-20250047,Cabinet architecte,Grosse installation neuve,13204.76,5,Automne,0,Refuse
DEV-20250048,Cabinet architecte,Renovation plomberie,4291.56,10,Automne,1,Accepte
DEV-20250049,Grande entreprise,Maintenance contrat,1637.21,16,Printemps,1,Accepte
DEV-20250050,Particulier,Depannage,163.32,10,Hiver,1,Accepte
DEV-20250051,Particulier,Renovation plomberie,2904.74,4,Hiver,0,Accepte
DEV-20250052,Particulier,Depannage,553.04,6,Printemps,0,Refuse
DEV-20250053,Grande entreprise,Maintenance contrat,1628.01,10,Printemps,1,Accepte
DEV-20250054,Grande entreprise,Maintenance contrat,925.01,31,Printemps,0,Accepte
DEV-20250055,Grande entreprise,Maintenance contrat,1921.51,8,Ete,0,Accepte
DEV-20250056,Grande entreprise,Maintenance contrat,1103.81,23,Ete,1,Accepte
DEV-20250057,Cabinet architecte,Grosse installation neuve,51827.18,12,Automne,1,Accepte
DEV-20250058,Cabinet architecte,Grosse installation neuve,26601.94,13,Hiver,1,Accepte
DEV-20250059,Particulier,Installation chauffage,4361.28,1,Hiver,1,Accepte
DEV-20250060,Particulier,Renovation plomberie,2889.29,4,Automne,0,Refuse
DEV-20250061,Grande entreprise,Grosse installation neuve,35313.98,28,Automne,0,Refuse
DEV-20250062,Cabinet architecte,Installation chauffage,7210.1,27,Automne,0,Accepte
DEV-20250063,Cabinet architecte,Installation chauffage,3575.49,10,Automne,1,Accepte
DEV-20250064,Grande entreprise,Installation chauffage,4210.64,27,Automne,0,Accepte
DEV-20250065,Grande entreprise,Maintenance contrat,1093.92,20,Hiver,1,Refuse
DEV-20250066,Cabinet architecte,Renovation plomberie,5215.26,10,Printemps,0,Accepte
DEV-20250067,Cabinet architecte,Grosse installation neuve,49738.14,8,Hiver,1,Refuse
DEV-20250068,Cabinet architecte,Maintenance contrat,1558.53,11,Ete,0,Accepte
DEV-20250069,Particulier,Depannage,283.36,8,Automne,0,Accepte
DEV-20250070,Cabinet architecte,Grosse installation neuve,31561.36,16,Printemps,0,Accepte
DEV-20250071,Particulier,Renovation plomberie,1978.87,2,Ete,0,Refuse
DEV-20250072,Cabinet architecte,Renovation plomberie,4565.67,8,Hiver,1,Accepte
DEV-20250073,Grande entreprise,Installation climatisation,12580.4,10,Hiver,0,Accepte
